name,article,actualname,plural,itemid,objectclass,primarytype,slot,implemented,immobile,walkable,pickupable,levelrequired,vocrequired,imbueslots,upgradeclass,attrib,armor,weight,stackable,marketable,droppedby,value,npcvalue,npcprice,buyfrom,sellto,notes,history,defense,holdsliquid,usable,status,sounds,flavortext,duration,attack,npcvaluerook,npcpricerook,hands,weapontype,enchantable,secondarytype,volume,consumable,regenseconds,defensemod,hangable,range,atk_mod,hit_mod,blockspath,writable,writechars,fansite,words,lightradius,lightcolor,mlrequired,storevalue,damagetype,imbuements,tertiarytype,rewritable,pricecurrency,wrappable,manaleech_ch,manaleech_am,crithit_ch,critextra_dmg,hpleech_ch,hpleech_am,resist,ice_attack,augments,death_attack,fire_attack,earth_attack,manacost,damagerange,energy_attack,elementalbond,charges,destructible,location,mantra,notes2,enchanted,rotatable
Dark Armor,a,dark armor,?,3383,Body Equipment,Armors,Body,5.1,no,yes,yes,-,-,-,1,-,10,120.00,no,yes,Ancient Lion Knight | Arthom the Hunter | Behemoth | Bellicose Orger | Bibby Bloodbath | Black Knight | Bretzecutioner | Destroyer | Dracola | Gargoyle | Ghastly Dragon | Pirate Corsair | Spiky Carnivor | Stonecracker | Werelion,400 - 600,400,1500,Alesar,"Alesar, H.L.:130",Same as [[Plate Armor]] but this is more expensive and rare. Part of the [[Dark Set]].\n<br />\nCan be obtained through the [[Dark Armor Quest]].,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Helmet,a,dark helmet,?,3384,Body Equipment,Helmets,Head,5.1,no,yes,yes,-,-,-,1,-,6,46.00,no,yes,Black Knight | Cyclops | Cyclops Drone | Cyclops Smith | Frost Giant | Frost Giantess | Hellhunter Inferniarch | Orc Warlord | Undead Elite Gladiator | Undead Gladiator | Warlord Ruzad,250~580,250,1000,Alesar,"Alesar, H.L.:40","A common helmet, many low level players use it. Had its graphics changed during 7.8 update to match the new [[Dark Armor]] graphic that was introduced during 7.6 update. It is the same in armor and weight as a [[Steel Helmet]] and a [[Strange Helmet]]. Part of the [[Dark Set]].\n<br />\nReward in the [[Alawar's Vault Quest]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Mushroom,a,dark mushroom,-,3728,"Plants, Animal Products, Food and Drink",Food,-,6.0,no,yes,yes,-,-,-,-,-,-,0.10,yes,yes,Carniphila | Dark Faun | Deathbine | Deepworm | Exotic Bat | Mad Mage | Memory of a Faun | Raging Mage | Raxias | Shaper Matriarch | Tiquandas Revenge | Warlock | Reflection of a Mage,100 - 3000,100,0,-,Luna,"Can be seen in Mushroomfarms Brewery in [[Kazordoon]]. They are somewhat valuable since no [[NPC]] sells them and they are required for a [[The Shattered Isles Quest|quest]], if you loot them you're advised not to eat them.<br />\n\n[[File:Dark_Mushroom_Spawn.jpg|400px]]\n\nCan be found at a [[daily spawn]] in [[Dusalk's Troll Clan Cave]] east of the [[Dwarven Bridge]].<br />\nUsed for the [[The Shattered Isles Quest]]",-,-,-,yes,-,{{Sound List|Munch.}},-,-,-,-,-,-,-,-,Mushrooms,-,yes,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dark Shield,a,dark shield,?,3421,Body Equipment,Shields,Shield Hand,5.1,no,yes,yes,-,-,-,-,-,-,52.00,no,yes,Ancient Lion Knight | Bellicose Orger | Bretzecutioner | Grim Reaper | Pirate Corsair | Silencer | Thanatursus | The Handmaiden | Werelion,400 - 500,400,0,-,"Rashid, H.L.:60","Used by most people when they come from [[Rookgaard]] because it's so easy to get. Used to be rare, until a quest to get it was implemented. Part of the [[Dark Set]].<br>\nLooks the same as [[The Shield Nevermourn]].\nReward from the [[Lighthouse Quest]].",-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Demon Armor,a,demon armor,?,3388,Body Equipment,Armors,Body,6.0,no,yes,yes,-,-,2,2,-,16,80.00,no,yes,-,"110,000 - 250,000",195,0,-,H.L.,Since the Update 8.4 this is the strongest armor without level restrictions for mages as they can no longer use [[Magic Plate Armor]]. Part of the [[Demon Set]].\nObtainable in the [[Annihilator Quest]].,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Demon Helmet,a,demon helmet,demon helmets,3387,Body Equipment,Helmets,Head,6.0,no,yes,yes,-,-,2,2,-,10,29.50,no,yes,Lloyd | Madareth,"30,000 - 55,000",40000,0,-,"Gnomission, H.L.: 95",It has been superseded by the [[Zaoan Helmet]]. The Demon Helmet is also a very good helmet for Mages who want to prioritize defense.<br />\nObtainable in the [[Demon Helmet Quest]].,"Demon Helmet used to be very rare before the [[Demon Legs]] quest was changed into todays Demon Helmet quest, it's a bit unclear how it was obtained before this but most likely one time spawn's of it or as a gift from Gods.",-,-,-,-,-,You hear an evil whispering from inside.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Demon Legs,-,demon legs,?,3389,Body Equipment,Legs,Legs,6.0,no,yes,yes,-,-,-,4,-,9,70.00,no,yes,-,"5,000,000 - 12,000,000",84,0,-,H.L.,Obtainable in [[The Demon Oak Quest]].,"* They used to be obtainable around the area of the [[Demon Helmet Quest]], when the quest system consisted of a chest with various items that could only be obtained once. They were meant to spawn after a full [[Floor Reset|map reset]] (happens when an [[Update]] sends players to temple) but [[Knightmare]] forgot to set this and it was abused. Many players completed the quest and got the reward, making the Demon Legs not as rare as they were intended to be. The old Demon Legs quest was replaced by the current [[Demon Helmet Quest]] many years ago.\n* Before [[Updates/8.2|Update 8.2]] these were unobtainable and, therefore, an extremely exclusive item. \n** After the update they became a reward for [[The Demon Oak Quest]], making the value and rarity decrease. \n** This quest sparked a lot of controversy, because many felt that making the Demon Legs a quest reward would destroy a piece of Tibia history. \n** The legs were extremely rare and very few people had ever obtained them. Older worlds, such as [[Antica]], [[Amera]], [[Calmera]], [[Danubia]], [[Eternia]], [[Isara]], [[Libera]], [[Lunara]], [[Rubera]], [[Secura]], [[Nova]] and [[Trimera]] had a pair of demon legs before the update.\n* With [[Updates/8.5]] CipSoft released a new quest ([[Killing in the Name of... Quest]]), which allowed players access to the Demon Oak area as a reward, once again allowing players the chance of gaining these legs.\n\n==== Gallery ====\n<gallery>\nDemon Legs Quest.jpg|Old Demon Legs Quest\nDqcalmera.jpg\n</gallery>",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Demon Shield,a,demon shield,?,3420,Body Equipment,Shields,Shield Hand,5.1,no,yes,yes,-,-,1,-,-,-,26.00,no,yes,Angry Demon | Annihilon | Demon | Demon Outcast | Essence of Malice | Ferumbras | Ferumbras Mortal Shell | Ghazbaran | Golgordan | Grimeleech | Katex Blood Tongue | Latrivan | Morgaroth | Orshabaal | Rage Squid | Terofar | Utua Stone Sting | Vexclaw | Yirkas Blue Scales | Zavarash,"30,000 - 35,000",30000,0,-,"Rashid, H.L.:130",Obtainable in the [[Behemoth Quest]] and the [[Demon Helmet Quest]].,-,35,-,-,-,-,This powerful shield seems to be as light as air.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Devil Helmet,a,devil helmet,?,3356,Body Equipment,Helmets,Head,5.0,no,yes,yes,-,-,-,2,-,7,50.00,no,yes,Angry Demon | Demon | Demon Outcast | Ferumbras | Golgordan | Grimeleech | Latrivan | Morgaroth | Orshabaal | Rage Squid | The Source of Corruption | Ushuriel | Vexclaw,"1,000 - 2,500",1000,0,-,"Shanar:450, Kroox:450, H.L.:80, Rashid","It can be traded for a [[Piece of Hell Steel]] with [[A Sweaty Cyclops]], also obtainable through the [[Devil Helmet Quest]].",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Didgeridoo,a,didgeridoo,?,2965,Household Items,Musical Instruments,-,7.5,no,yes,yes,-,-,-,-,-,-,42.00,-,yes,Madareth | Ogre Shaman,Negotiable,0,5000,Cael;tomes-6,-,"When used, there is 10% chance that {{Ilink|Green Notes Effect}} [[Green Notes Effect]] will appear, i.e you will successfully play it, and 90% chance that {{Ilink|Poof Effect}} [[Poof Effect]] will appear.<br />A didgeridoo can be seen in [[Port Hope]]'s [[Tibian Explorer Society]] building.","Although this item was implemented in [[Updates/7.5|Summer Update 2005]], it became obtainable only after [[Updates/8.4|Winter Update 2008]] when it was added to [[Madareth]]'s loot.<br />Before the [[Updates/8.54|Christmas Update 2009]], this item was very rare and expensive, usually owned by collectors. But after this update, it became available to buy from [[Cael]], lowering the price considerably.",-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dirty Cape,a,dirty cape,durty capes,3122,Other Items,Rubbish,-,7.0,no,yes,yes,-,-,-,-,-,-,29.50,yes,-,Ancient Lion Knight | Crazed Beggar | Plaguesmith,0,0,0,-,-,It has no practical use. It can be found in some junk piles throughout [[Tibia]].\nYou can get it from [[Bunny Bonecrusher]] in Mission 6: The Unhappy Frog of [[The Scatterbrained Sorcerer Quest]].,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dirty Fur,a,dirty fur,?,3105,Other Items,Rubbish,-,4.0,no,yes,yes,-,-,-,-,-,-,2.00,yes,yes,Ancient Lion Knight | Deathspawn | Fernfang | Starving Wolf,0,0,0,-,-,"Can be found littering the ground in troll caves east of Thais ({{Mapper Coords|127.0|125.252|7|4|text=around here}}), or almost any [[orc]] cave. [[Deathspawn]]s also turn into dirty furs when they die. [[Orc Spearmen]] also used to drop this item.<br>\nLooks the same as an [[Animal Fetish]].\nNeeded in the [[Postman Quest]] and in the [[The Scatterbrained Sorcerer Quest]].",-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Djinn Blade,a,djinn blade,?,3339,Weapons,Sword Weapons,Weapon Hand,7.4,no,yes,yes,35,-,2,3,-,-,24.50,no,yes,Thalas | The Sandking | Ancient Spawn of Morgathla,"200,000 - 1,000,000",15000,0,-,Rashid,"Used to be one of the priceless [[Pharaoh Rares]], but now it's also dropped by [[The Sandking]] and much easier to obtain.",-,22,-,yes,-,-,-,-,38,-,-,One,Sword,no,-,-,-,-,+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Document,a,document,?,2834,Household Items,Documents and Papers,-,5.0,no,yes,yes,-,-,-,-,-,-,1.50,-,no,-,12,0,12,"Ahmet, Bashira, Bertha, Bezil, Gorn, Gree Dee, Halif, Nezil, Perod, Red Lilly, Sarina, Shiantis, The Librarian: 20, Thomas, Timur, Zora",-,"It looks the same as a [[Bill]], a [[Document (Rewriteable)]], a [[Fan Club Membership Card]], a [[Soul Contract]] and all [[Gnomish Voucher]]s.<br />\nThe [[Document (Rewriteable)]] is a rewriteable version of this item.\n<noinclude><br />{{seealso|Document (Certificate)}}</noinclude>",-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,1023,-,-,-,-,-,-,-,-,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doll,a,doll,?,2991,Household Items,Dolls and Bears,-,6.0,no,yes,yes,-,-,-,-,-,-,6.50,No,yes,Piñata Dragon | Wild Warrior,200,200,0,-,Rashid,"A semi-common doll, can be used for decoration and roleplaying purposes.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Double Axe,a,double axe,?,3275,Weapons,Axe Weapons,Both Hands,4.0,no,yes,yes,25,knights,-,1,-,-,70.00,-,yes,Behemoth | Cyclops Smith | Deadeye Devious | Diabolic Imp | Dragon | Dwarf Guard | Ferumbras | Fire Devil | General Murius | Ghazbaran | Golgordan | Grand Mother Foulscale | Latrivan | Lethal Lissy | Memory of a Dwarf | Minotaur Guard | Morgaroth | Mr. Punish | Orger | Orshabaal | Quara Predator | Quara Predator Scout | Ron the Ripper | Stonecracker | Tazhadur | The Horned Fox | Ushuriel | Valkyrie,260 - 400,260,0,-,"Baltim, Brengus, Cedrik, Esrik, Flint, Gamel, H.L.: 70, Habdel, Hardek, Memech, Morpel, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard","Very cheap, easily obtainable on new [[world]]s and can give you an advantage in [[war]]s and [[PvP]] in the early days of a server.",-,12,-,yes,-,-,-,-,35,-,-,Two,Axe,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doublet,a,doublet,?,3379,Body Equipment,Armors,Body,5.1,no,yes,yes,-,-,-,1,-,2,25.00,no,yes,Afflicted Strider | Amenef the Burning | Dawnfly | Gore Horn | Spiky Carnivor | Werehyaena Shaman | Werelion | Gorerilla | Hulking Prehemoth | Jungle Moa,3,3,16,"Azil, Baltim, Brengus, Cedrik, Cornelia, Coltrayne: 16, Dixi: 16, Esrik, Flint, Hardek, Kroox, Lee'Delle: 14, Memech, Morpel, Norbert, Robert, Rock In A Hard Place, Sam, Shanar, Turvy, Ulrik, Willard, Yanni","Azil, Baltim, Brengus, Cedrik, Cornelia, Coltrayne: 3, Dixi: 3, Esrik, Flint, H.L.: 1, Hardek, Kroox, Lee'Delle: 3, Memech, Morpel, Norbert, Robert, Rock In A Hard Place, Sam, Shanar, Turvy, Ulrik, Willard, Yanni","Good for early levels on [[Rookgaard]], try to obtain this armor as soon as possible. If you can, go for it after you enter Rookgaard.\nObtainable in the [[Doublet Quest]].",-,-,-,-,-,{{Sound List|}},-,-,-,3,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dragon Ham,-,dragon ham,?,3583,"Plants, Animal Products, Food and Drink",Food,-,7.2,no,yes,yes,-,-,-,-,-,-,30.00,yes,yes,Demodras | Dragon | Dragon Hatchling | Dragon Lord | Dragon Lord Hatchling | Elder Wyrm | Frost Dragon | Frost Dragon Hatchling | Gelidrazah the Frozen | Grand Mother Foulscale | Kalyassa | Sea Serpent | Seacrest Serpent | Tyrn | Wyrm | Wyvern,5 - 15,0,25,Jezzara,-,"Twice the regeneration of normal [[ham]], yet only 50% heavier. It's a great food to eat while making [[runes]]. Lower leveled [[character]]s can easily collect them near [[Dragon Lairs]] because many players who hunt there throw it out of killed [[Dragons]].\nNeeded for the [[Demon's Lullaby]] [[World Quest]].",-,-,-,yes,-,{{Sound List|Chomp.}},It still contains a small part of the power of a dragon.,-,-,-,-,-,-,-,-,-,yes,720,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dragon Hammer,a,dragon hammer,?,3322,Weapons,Club Weapons,Weapon Hand,6.6,no,yes,yes,25,-,-,2,-,-,97.00,-,yes,Dire Penguin | Dragon | Grand Mother Foulscale | Orc Warlord | Orshabaal | Tazhadur,"2,000 - 4,000",2000,0,-,Alesar,"The Dragon Hammer is notoriously heavy for low-[[level]] [[knight]]s to carry, yet it remains a popular choice because of its reasonable price.",-,20,-,yes,-,-,-,-,32,-,-,One,Club,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dragon Lance,a,dragon lance,?,3302,Weapons,Axe Weapons,Both Hands,5.1,no,yes,yes,60,-,3,2,-,-,67.00,-,yes,Black Knight,"9,000 - 35,000",9000,0,-,"H.L.: 90, Nah'Bob",A strong two-handed axe comparable to a [[Royal Axe]] (except that it is [[two-handed]]). Used by [[Axe Weapons|axe fighters]] to slay tougher monsters.<br />\nObtainable through the [[Vampire Shield Quest]].,"'''Dragon Lance'''s were once simply known as Lances, and had slightly lower stats.\n\n== Sprite Change ==\nThe Dragon Lance's sprite was changed in the [[Updates/8.0|2007 Summer Update]] to: [[File:Dragon Lance (old).gif]].",16,-,yes,-,-,The extraordinary sharp blade penetrates every armor.,-,47,-,-,Two,Axe,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coconut Milk,a,vial of coconut milk,vials of coconut milk,-,"Plants, Animal Products, Food and Drink",Liquids,-,7.8,no,-,yes,-,-,-,-,-,-,1.80,no,-,-,100-500,0,10,Relaxed Bartender;vial,-,Use a [[Juice Squeezer]] {{Ilink|Juice Squeezer}} on a [[coconut]] {{Ilink|Coconut}} while carrying a empty [[vial]] {{Ilink|Vial}} to make Coconut Milk.\n7 vials of Coconut Milk are needed for the [[Hot Cuisine Quest]].,-,-,-,-,-,{{Sound List|Mmmh.}},-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coloured Egg (Blue),a,coloured egg,coloured eggs,6543,"Plants, Animal Products, Food and Drink",Food,-,7.9,no,yes,yes,-,-,-,-,-,-,0.30,yes,yes,-,2,0,2,"Bonifacius, Imalas, Maria",-,"Variants of [[Coloured Egg]]s are obtained during [[Wikipedia:Easter|Easter]]. They are semi-rarely dropped by [[Chicken]]s, [[Rabbit]]s and [[Silver Rabbit]]s during the days surrounding the holiday. Players on [[Rookgaard]] may buy these for more because they cannot be bought from [[NPCs]] there.\nCan be obtained from [[Surprise Nest]]s.",-,-,-,yes,-,{{Sound List|Gulp.}},-,-,-,0,0,-,-,-,-,-,yes,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coloured Egg (Green),a,coloured egg,coloured eggs,6544,"Plants, Animal Products, Food and Drink",Food,-,7.9,no,yes,yes,-,-,-,-,-,-,0.30,yes,yes,-,2,0,2,"Bonifacius, Imalas, Maria",-,"Variants of [[Coloured Egg]]s are obtained during [[Wikipedia:Easter|Easter]]. They are semi-rarely dropped by [[Chicken]]s, [[Rabbit]]s and [[Silver Rabbit]]s during the days surrounding the holiday. Players on [[Rookgaard]] may buy these for more because they cannot be bought from [[NPCs]] there. Looks the same as a [[Green Power Core]].\nCan be obtained from [[Surprise Nest]]s.",-,-,-,yes,-,{{Sound List|Gulp.}},-,-,-,0,0,-,-,-,-,-,yes,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coloured Egg (Purple),a,coloured egg,coloured eggs,6545,"Plants, Animal Products, Food and Drink",Food,-,7.9,no,yes,yes,-,-,-,-,-,-,0.30,yes,yes,-,2,0,2,"Bonifacius, Imalas, Maria",-,"Variants of [[Coloured Egg]]s are obtained during [[Wikipedia:Easter|Easter]]. They are semi-rarely dropped by [[Chicken]]s, [[Rabbit]]s and [[Silver Rabbit]]s during the days surrounding the holiday. Players on [[Rookgaard]] may buy these for more because they cannot be bought from [[NPCs]] there.\nCan be obtained from [[Surprise Nest]]s.",-,-,-,yes,-,{{Sound List|Gulp.}},-,-,-,0,0,-,-,-,-,-,yes,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coloured Egg (Red),a,coloured egg,coloured eggs,6542,"Plants, Animal Products, Food and Drink",Food,-,7.9,no,yes,yes,-,-,-,-,-,-,0.30,yes,yes,-,2,0,2,"Bonifacius, Imalas, Maria",-,"Variants of [[Coloured Egg]]s are obtained during [[Wikipedia:Easter|Easter]]. They are semi-rarely dropped by [[Chicken]]s, [[Rabbit]]s and [[Silver Rabbit]]s during the days surrounding the holiday. Players on [[Rookgaard]] may buy these for more because they cannot be bought from [[NPCs]] there. Looks the same as a [[Red Power Core]] and a [[Blob Bomb]].\nCan be obtained from [[Surprise Nest]]s.",-,-,-,yes,-,{{Sound List|Gulp.}},-,-,-,0,0,-,-,-,-,-,yes,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coloured Egg (Yellow),a,coloured egg,coloured eggs,6541,"Plants, Animal Products, Food and Drink",Food,-,7.9,no,yes,yes,-,-,-,-,-,-,0.30,yes,yes,-,2,0,2,"Bonifacius, Imalas, Maria",-,"Variants of [[Coloured Egg]]s are obtained during [[Wikipedia:Easter|Easter]]. They are semi-rarely dropped by [[Chicken]]s, [[Rabbit]]s and [[Silver Rabbit]]s during the days surrounding the holiday. Players on [[Rookgaard]] may buy these for more because they cannot be bought from [[NPCs]] there.\nCan be obtained from [[Surprise Nest]]s.",-,-,-,yes,-,{{Sound List|Gulp.}},-,-,-,0,0,-,-,-,-,-,yes,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Combustion Rune,a,combustion rune,?,-,Runes,Attack Runes,-,-,no,-,yes,-,-,-,-,-,-,-,-,-,-,Negotiable,0,0,-,-,It shoots out a fire damage like a GFB but with the power of Ultimate Explosion.<br />\nIt was seen on the test server for [[Updates/7.9|Christmas Update 2006]]. This Sprite is now used in the [[Icicle (Rune)|Icicle Rune]].,-,-,-,-,TS-only,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Composite Hornbow,a,composite hornbow,?,8027,Weapons,Distance Weapons,Both Hands,8.20,no,yes,yes,50,paladins,3,2,-,-,52.00,no,yes,Black Vixen | Cave Chimera | Elder Wyrm | Gorerilla | Hellhunter Inferniarch | Ironblight | Outburst | Paladin's Apparition | World Devourer | Wyrm,"25,000+",25000,0,-,Rashid,"This [[bow]] is almost the same as the [[arbalest]], but it has 1 more attack. Combined with [[Onyx Arrow]]s it has 1 less attack than the [[arbalest]] with [[power bolt]]s. Contrary to popular belief, a Composite Hornbow combined with onyx arrows actually hits higher on average than an Arbalest with power bolts. The average damage inflicted by a level 100 paladin with 100 distance using a Composite Hornbow and onyx arrows is 193, whereas the average damage inflicted by the same paladin using an Arbalest and power bolts is 192. This is due to the higher hit percentage of the Hornbow(they both have 2% hit, only difference is +1 atk on Hornbow, need an updated source on this).",-,-,-,-,-,{{Sound List|}},-,-,-,0,0,Two,Distance,-,Bows,-,-,-,-,-,6,2,+2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coral Comb,a,coral comb,?,5945,Other Items,Quest Items,-,7.8,no,yes,yes,-,-,-,-,-,-,4.50,No,yes,-,"20,000 - 80,000",0,0,-,-,"According to [[Ishina]] this comb is the pinnacle of Tibian haircare.\n\nRequired for one of the [[addon]]s in the [[Oriental Outfits Quest]]. It's located underwater in [[Calassa]], to get there you need the Relic Hunter rank in [[The Explorer Society Quest]].",-,-,-,-,-,-,It once belonged to a mermaid.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cornucopia,a,cornucopia,cornucopias,3103,Household Items,Musical Instruments,-,7.5,no,yes,yes,-,-,-,-,-,-,14.00,no,yes,Dharalion,Negotiable.,0,0,-,-,"When used, it creates 10 bunches of [[Grapes]] and plays {{Ilink|Green Notes Effect}} [[Green Notes Effect|Green Musical Notes]]. It has a breaking chance of 5% every time it is used.",-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Costume Bag (Common),a,costume bag,?,653,Other Items,Party Items,-,8.10,no,yes,yes,-,-,-,-,-,-,8.00,no,yes,-,500,0,500,Stan,-,"If you use it, it will transform you into one of these 5 [[creatures]]:<br>[[File:Orc Warrior.gif]] [[Orc Warrior]]<br>[[File:Pirate Cutthroat.gif]] [[Pirate Cutthroat]]<br>[[File:Dworc Voodoomaster.gif]] [[Dworc Voodoomaster]]<br>[[File:Dwarf Guard.gif]] [[Dwarf Guard]]<br>[[File:Minotaur Mage.gif]] [[Minotaur Mage]]<br>It can last for approximately 5 hours. Note that you'll lose your costume if you go [[swimming]], become [[invisible]], get your appearance changed by a [[creature]] such as a [[Dark Apprentice]], use a [[Chameleon Rune]], die, use the spell [[Creature Illusion]], use a [[Spellwand]] on yourself, or transform into a [[corpse]] for a few seconds (e.g. when [[Barbarian Test Quest/Spoiler#Barbarian Test 1: Barbarian Booze|passing out on mead]]). Also note that you won't be able to use a [[mount]] while you are transformed.\nUsing 100 of these will reward you the [[Masquerader]] [[achievement]]",-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
